SAMPLE	MISSING_RATE	AVG_DP	AVG_GQ
Castanea_004	0.0399	12.29	38.55
Castanea_005	0.0464	11.60	36.39
Castanea_011	0.0467	10.90	35.14
Castanea_013	0.0466	12.05	37.72
Castanea_018	0.0360	13.74	42.33
Castanea_019	0.0673	9.86	31.81
Castanea_021	0.0444	11.51	36.12
Castanea_023	0.0631	10.71	33.76
Castanea_027	0.0541	13.84	41.99
Castanea_029	0.2713	74.59	98.87
Castanea_030	0.0370	11.27	35.71
Castanea_031	0.0444	11.82	37.37
Castanea_032	0.0475	13.41	38.83
Castanea_035	0.0376	13.35	40.36
Castanea_036	0.0829	11.52	36.55
Castanea_037	0.0454	12.18	38.10
Castanea_039	0.0320	13.82	42.05
Castanea_053	0.0367	11.65	36.93
Castanea_054	0.0405	11.89	37.59
Castanea_060	0.0340	12.34	38.42
Castanea_066	0.0376	12.56	39.37
Castanea_067	0.0405	13.13	40.75
Castanea_069	0.0508	11.89	35.79
Castanea_070	0.0395	12.46	39.21
Castanea_074	0.0351	11.74	37.35
Castanea_076	0.0524	11.68	36.81
Castanea_078	0.0463	11.71	37.74
Castanea_081	0.0448	11.22	35.40
Castanea_082	0.0533	10.66	34.09
Castanea_084	0.0372	11.67	37.28
Castanea_086	0.0488	13.06	38.09
Castanea_088	0.0462	11.36	36.13
Castanea_090	0.0326	12.43	38.27
Castanea_091	0.0395	11.42	35.94
Castanea_094	0.0423	12.20	37.67
Castanea_095	0.0383	12.42	39.10
Castanea_096	0.0387	12.12	38.26
Castanea_097	0.0393	12.24	38.48
Castanea_098	0.0366	13.57	41.27
Castanea_100	0.0347	12.33	38.19
Castanea_103	0.0462	11.51	35.85
Castanea_106	0.0700	10.32	33.16
Castanea_109	0.0486	11.48	35.73
Castanea_115	0.0430	11.88	36.84
Castanea_118	0.2414	10.33	33.53
Castanea_119	0.0366	12.67	39.72
Castanea_120	0.0602	9.99	32.35
Castanea_121	0.0381	11.41	35.81
Castanea_124	0.0504	10.92	34.90
Castanea_125	0.0405	11.38	36.29
Castanea_127	0.0522	10.91	34.90
Castanea_131	0.0509	12.78	39.33
Castanea_134	0.0612	10.25	32.43
Castanea_142	0.0264	13.72	42.72
Castanea_143	0.0682	9.62	30.88
Castanea_145	0.0564	10.30	33.49
Castanea_146	0.0470	10.77	34.79
Castanea_148	0.0463	13.45	41.43
Castanea_149	0.0412	12.26	38.08
Castanea_155	0.0519	11.33	36.07
Castanea_156	0.0378	13.22	41.09
Castanea_157	0.0357	12.79	39.44
Castanea_158	0.0282	14.99	45.81
Castanea_159	0.0367	12.96	40.46
Castanea_164	0.0808	9.62	31.21
Castanea_165	0.0380	14.51	44.19
Castanea_167	0.0387	13.35	40.11
Castanea_169	0.0461	12.15	37.63
Castanea_170	0.0332	13.95	43.22
Castanea_176	0.0317	12.41	38.94
Castanea_178	0.0408	12.84	39.51
Castanea_179	0.0400	12.86	39.82
Castanea_180	0.0433	12.22	38.19
Castanea_182	0.0321	13.15	40.86
Castanea_184	0.0359	12.82	39.75
Castanea_186	0.0298	13.26	40.98
Castanea_188	0.0864	11.78	43.62
Castanea_190	0.0346	13.96	42.32
Castanea_192	0.0369	12.29	38.69
Castanea_195	0.0665	11.08	34.83
Castanea_202	0.0402	11.85	36.91
Castanea_203	0.0408	13.11	40.53
Castanea_205	0.0384	12.26	38.09
Castanea_206	0.0389	13.13	40.84
Castanea_207	0.0563	10.64	34.13
Castanea_209	0.0840	9.62	31.35
Castanea_210	0.0378	12.86	39.79
Castanea_212	0.0541	11.39	33.09
Castanea_213	0.0375	12.01	37.95
Castanea_214	0.0428	12.23	38.27
Castanea_215	0.0402	12.68	39.77
