SAMPLE	MISSING_RATE	AVG_DP	AVG_GQ
Castanea_004	0.0451	11.52	35.71
Castanea_005	0.0535	10.93	35.13
Castanea_011	0.0559	10.23	32.16
Castanea_013	0.0530	11.21	35.50
Castanea_018	0.0354	13.15	40.05
Castanea_019	0.0645	9.66	31.38
Castanea_021	0.0496	10.74	34.64
Castanea_023	0.0727	9.92	31.62
Castanea_027	0.0568	13.17	40.34
Castanea_029	0.1904	71.56	98.82
Castanea_030	0.0426	10.59	33.49
Castanea_031	0.0610	10.75	34.62
Castanea_032	0.0398	12.61	39.89
Castanea_035	0.0420	11.95	37.82
Castanea_036	0.0699	11.63	36.37
Castanea_037	0.0474	11.42	36.25
Castanea_039	0.0485	12.20	38.11
Castanea_053	0.0474	10.51	33.72
Castanea_054	0.0424	11.25	35.50
Castanea_060	0.0418	11.48	36.40
Castanea_066	0.0366	12.01	37.09
Castanea_067	0.0399	12.48	38.25
Castanea_069	0.0582	10.82	34.86
Castanea_070	0.0457	11.58	36.35
Castanea_074	0.0419	10.87	34.93
Castanea_076	0.0648	10.42	32.96
Castanea_078	0.0491	11.17	35.17
Castanea_081	0.0545	10.22	33.13
Castanea_082	0.0581	9.94	31.92
Castanea_084	0.0432	10.74	33.80
Castanea_086	0.0543	11.40	37.52
Castanea_088	0.0444	11.07	35.22
Castanea_090	0.0360	11.66	36.98
Castanea_091	0.0421	11.04	34.90
Castanea_094	0.0504	11.07	35.22
Castanea_095	0.0433	11.67	37.27
Castanea_096	0.0503	11.08	36.98
Castanea_097	0.0541	11.14	35.14
Castanea_098	0.0382	12.37	38.44
Castanea_100	0.0410	11.47	35.61
Castanea_103	0.0544	10.73	34.80
Castanea_106	0.0600	10.28	33.36
Castanea_109	0.0615	10.37	33.88
Castanea_115	0.0525	11.05	34.87
Castanea_118	0.1214	9.80	40.10
Castanea_119	0.0373	12.12	37.38
Castanea_120	0.0591	9.50	30.73
Castanea_121	0.0411	10.61	33.33
Castanea_124	0.0601	9.94	31.95
Castanea_125	0.0429	10.74	33.86
Castanea_127	0.0611	10.29	32.17
Castanea_131	0.0642	11.30	34.35
Castanea_134	0.0677	9.65	31.49
Castanea_142	0.0300	12.89	40.07
Castanea_143	0.0812	9.05	29.57
Castanea_145	0.0651	9.69	32.01
Castanea_146	0.0450	10.41	32.65
